code,location
1,福建省福州市闽侯县福州大学学生公寓|1号楼
2,福建省福州市闽侯县福州大学学生公寓|2号楼
3,福建省福州市闽侯县福州大学学生公寓|3号楼
4,福建省福州市闽侯县福州大学学生公寓|4号楼
5,福建省福州市闽侯县福州大学学生公寓|5号楼
6,福建省福州市闽侯县福州大学学生公寓|6号楼
7,福建省福州市闽侯县福州大学学生公寓|7号楼
8,福建省福州市闽侯县福州大学学生公寓|8
9,福建省福州市闽侯县福州大学学生公寓|9号楼
10,福建省福州市闽侯县福州大学学生公寓|10号楼
11,福建省福州市闽侯县福州大学学生公寓|11号楼
12,福建省福州市闽侯县福州大学学生公寓|12号楼
13,福建省福州市闽侯县福州大学学生公寓|13号楼
14,福建省福州市闽侯县福州大学学生公寓|14号楼
15,福建省福州市闽侯县福州大学学生公寓|15号
16,福建省福州市闽侯县福州大学学生公寓|16号楼
17,福建省福州市闽侯县福州大学学生公寓|17号
18,福建省福州市闽侯县福州大学学生公寓|18号楼
19,福建省福州市闽侯县福州大学学生公寓|19号楼
20,福建省福州市闽侯县福州大学学生公寓|20
21,福建省福州市闽侯县福州大学学生公寓|21号
22,福建省福州市闽侯县福州大学学生公寓|22号楼
23,福建省福州市闽侯县福州大学学生公寓|23号
24,福建省福州市闽侯县福州大学学生公寓|24号
25,福建省福州市闽侯县福州大学学生公寓|25号楼
26,福建省福州市闽侯县福州大学学生公寓|26号楼
27,福建省福州市闽侯县福州大学学生公寓|27号楼
28,福建省福州市闽侯县福州大学学生公寓|28号楼
29,福建省福州市闽侯县福州大学学生公寓|29号楼
30,福建省福州市闽侯县福州大学学生公寓|30号楼
31,福建省福州市闽侯县福州大学学生公寓|31号楼
32,福建省福州市闽侯县福州大学学生公寓|32号楼
33,福建省福州市闽侯县福州大学学生公寓|33号楼
34,福建省福州市闽侯县福州大学学生公寓|34号楼
35,福建省福州市闽侯县福州大学学生公寓|35号楼
36,福建省福州市闽侯县福州大学学生公寓|36号楼
37,福建省福州市闽侯县福州大学学生公寓|37号楼
38,福建省福州市闽侯县福州大学学生公寓|38号楼
39,福建省福州市闽侯县福州大学学生公寓|39号楼
40,福建省福州市闽侯县福州大学学生公寓|40号楼
41,福建省福州市闽侯县福州大学学生公寓|41号楼
42,福建省福州市闽侯县福州大学学生公寓|42号楼
43,福建省福州市闽侯县福州大学学生公寓|43号楼
44,福建省福州市闽侯县福州大学学生公寓|44号楼
45,福建省福州市闽侯县福州大学学生公寓|45号楼
46,福建省福州市闽侯县福州大学|46栋
47,福建省福州市闽侯县福州大学|47号楼
48,福建省福州市闽侯县福州大学|48栋
49,福建省福州市闽侯县福州大学|49栋
50,福建省福州市闽侯县福州大学|50号楼
51,福建省福州市闽侯县福州大学|51栋
52,福建省福州市闽侯县福州大学学生公寓|52号楼
53,福建省福州市闽侯县福州大学学生公寓|53
54,福建省福州市闽侯县福州大学学生公寓|54号楼
55,福建省福州市闽侯县福州大学学生公寓|55
56,福建省福州市闽侯县福州大学学生公寓|56
57,福建省福州市闽侯县福州大学学生公寓|57号楼
58,福建省福州市闽侯县福州大学学生公寓|58号楼
59,福建省福州市闽侯县福州大学学生公寓|59
60,福建省福州市闽侯县福州大学学生公寓|60号
61,福建省福州市闽侯县福州大学学生公寓|61
62,福建省福州市闽侯县福州大学旗山校区|62栋
63,福建省福州市闽侯县福州大学学生公寓|63号
64,福建省福州市闽侯县福大玫瑰园餐厅
65,福建省福州市闽侯县紫荆园
66,福建省福州市闽侯县丁香园
67,福建省福州市闽侯县海棠园
68,福建省福州市闽侯县岐安福大学生街(溪源宫路)
69,福州大学快递服务中心
